Order,top-left-square-x,top-left-square-o,top-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-right-square-x,top-right-square-o,top-right-square-b,middle-left-square-x,middle-left-square-o,middle-left-square-b,middle-middle-square-o,middle-middle-square-b,middle-middle-square-x,middle-right-square-o,middle-right-square-b,middle-right-square-x,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,class,Rule_Length,Rule
801,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
803,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
804,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
805,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
807,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
811,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
821,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
848,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
851,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
854,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
855,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
862,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
865,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
867,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
869,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
872,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
874,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
879,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
884,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
886,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
897,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
911,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
915,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
918,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
920,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
925,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
931,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,negative,4,(middle-middle-square-o > 0) & (bottom-left-square-x > 0) & (bottom-right-square-x <= 0) & (top-left-square-x <= 0)
