Order,Length_1,Length_2,Length_3,Length_4,Rule_1,Rule_2,Rule_3,Rule_4,Decision_Class_1,Decision_Class_2,Decision_Class_3,Decision_Class_4
218,11,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-left-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b > 0.5),,,,positive,,,
224,8,,,,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (middle-right-square-o > 0.5),,,,positive,,,
226,8,,,,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-o <= 0.5),,,,positive,,,
230,7,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-o > 0.5) & (bottom-right-square-x > 0.5),,,,positive,,,
232,11,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o > 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-x <= 0.5) & (middle-middle-square-x > 0.5) & (top-middle-square-b > 0.5) & (middle-right-square-o <= 0.5),,,,positive,,,
234,8,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-right-square-x > 0.5),,,,positive,,,
236,10,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-x > 0.5) & (top-middle-square-b > 0.5),,,,positive,,,
237,12,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-right-square-o > 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-o > 0.5) & (middle-right-square-x <= 0.5) & (middle-middle-square-x > 0.5) & (top-middle-square-b > 0.5) & (middle-right-square-o > 0.5) & (top-right-square-x > 0.5),,,,positive,,,
250,7,,,,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-b > 0.5),,,,positive,,,
252,11,,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-x > 0.5) & (bottom-left-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (top-left-square-x > 0.5) & (middle-right-square-b > 0.5) & (middle-left-square-x > 0.5),,,,positive,,,
254,7,,,,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-b > 0.5),,,,positive,,,
262,9,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-middle-square-x > 0.5) & (bottom-left-square-x > 0.5),,,,positive,,,
269,8,,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-right-square-b <= 0.5) & (top-middle-square-b > 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-x > 0.5) & (middle-right-square-x > 0.5),,,,positive,,,
270,10,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o > 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (middle-left-square-b > 0.5) & (bottom-left-square-b <= 0.5),,,,positive,,,
275,12,,,,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-x > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-b > 0.5),,,,positive,,,
281,7,,,,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-b > 0.5),,,,positive,,,
287,10,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-x <= 0.5) & (top-left-square-x > 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-x > 0.5) & (top-middle-square-b > 0.5),,,,positive,,,
290,7,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-o > 0.5) & (bottom-right-square-x > 0.5),,,,positive,,,
300,12,,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-right-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-x > 0.5),,,,positive,,,
301,9,7,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5),,,positive,positive,,
303,9,,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-right-square-o <= 0.5),,,,positive,,,
304,9,10,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (middle-right-square-x <= 0.5) & (bottom-right-square-x <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-right-square-b <= 0.5) & (top-left-square-x <= 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-b > 0.5),,,positive,positive,,
305,5,,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (middle-right-square-b > 0.5),,,,positive,,,
307,9,8,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-x <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x > 0.5) & (bottom-left-square-b <= 0.5),,,positive,positive,,
309,9,,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-right-square-o <= 0.5),,,,positive,,,
314,10,,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-b > 0.5) & (bottom-right-square-o > 0.5) & (bottom-left-square-x > 0.5),,,,positive,,,
322,12,10,,,(top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o > 0.5) & (top-middle-square-o <= 0.5) & (top-middle-square-b <= 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o > 0.5) & (top-middle-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x > 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5),,,positive,positive,,
333,8,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o > 0.5) & (middle-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5) & (bottom-right-square-o <= 0.5) & (bottom-middle-square-x > 0.5) & (bottom-right-square-b > 0.5),,,,positive,,,
336,8,8,,,(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o > 0.5) & (top-middle-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (middle-left-square-o > 0.5) & (bottom-middle-square-x > 0.5) & (middle-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o > 0.5) & (top-middle-square-o <= 0.5) & (bottom-left-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x > 0.5) & (middle-middle-square-x <= 0.5),,,positive,positive,,
339,8,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o > 0.5) & (middle-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5) & (bottom-right-square-o <= 0.5) & (bottom-middle-square-x > 0.5) & (bottom-right-square-b > 0.5),,,,positive,,,
359,9,8,,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b > 0.5) & (bottom-left-square-o > 0.5) & (bottom-right-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-b > 0.5) & (bottom-right-square-o > 0.5),,,positive,positive,,
361,9,9,8,,(top-right-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o > 0.5) & (top-right-square-b > 0.5) & (bottom-left-square-o > 0.5) & (bottom-right-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-x > 0.5) & (bottom-middle-square-b <= 0.5) & (middle-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o > 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (middle-right-square-o > 0.5) & (bottom-right-square-x > 0.5),,positive,positive,positive,
365,6,,,,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-b > 0.5) & (middle-right-square-b <= 0.5),,,,positive,,,
375,10,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-x <= 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-b > 0.5) & (bottom-right-square-o <= 0.5) & (bottom-middle-square-o > 0.5),,,,positive,,,
382,7,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5) & (middle-right-square-x > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-o > 0.5),,,,positive,,,
384,10,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-right-square-x > 0.5) & (middle-left-square-b <= 0.5) & (top-left-square-b <= 0.5) & (middle-right-square-x > 0.5) & (bottom-right-square-x <= 0.5),,,,positive,,,
430,7,8,,,(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-x <= 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-x > 0.5) & (bottom-middle-square-b <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (bottom-right-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-x <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o > 0.5),,,positive,positive,,
435,10,8,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-x <= 0.5) & (middle-left-square-x <= 0.5) & (bottom-right-square-b > 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-b > 0.5) & (middle-right-square-o > 0.5) & (top-right-square-x > 0.5) & (middle-middle-square-b <= 0.5),,,positive,positive,,
436,7,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-o > 0.5) & (bottom-right-square-x > 0.5),,,,positive,,,
448,8,,,,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-b > 0.5) & (middle-right-square-o > 0.5) & (top-right-square-x > 0.5) & (middle-middle-square-b <= 0.5),,,,positive,,,
455,9,,,,(top-right-square-o <= 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-b > 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-left-square-o <= 0.5) & (middle-right-square-x > 0.5) & (bottom-left-square-b > 0.5) & (top-right-square-x > 0.5),,,,positive,,,
466,9,8,,,(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (top-middle-square-x <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o > 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-x <= 0.5) & (top-middle-square-b > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (top-middle-square-b > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-b <= 0.5) & (top-left-square-o > 0.5),,,positive,positive,,
469,8,5,,,(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o > 0.5) & (top-middle-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (middle-left-square-o > 0.5) & (bottom-middle-square-x > 0.5) & (middle-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o > 0.5) & (middle-middle-square-b > 0.5) & (middle-right-square-x > 0.5),,,positive,positive,,
