Order,Length_1,Length_2,Length_3,Length_4,Length_5,Length_6,Length_7,Rule_1,Rule_2,Rule_3,Rule_4,Rule_5,Rule_6,Rule_7
11,7,6,6,9,8,,,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-b <= 0.5) & (middle-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5),,
12,6,3,9,3,5,,,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x > 0.5) & (middle-middle-square-b > 0.5),(middle-middle-square-o <= 0.5) & (bottom-left-square-o <= 0.5) & (top-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),,
13,6,3,8,3,5,,,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (bottom-left-square-o <= 0.5) & (top-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),,
14,7,6,6,8,10,,,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-b <= 0.5) & (bottom-middle-square-x > 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-x <= 0.5),,
15,8,8,3,4,3,,,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),,
16,8,6,3,4,3,,,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),,
17,8,3,3,3,3,,,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (bottom-left-square-o <= 0.5) & (top-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),,
18,6,3,6,3,5,,,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (bottom-left-square-o <= 0.5) & (top-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),,
19,8,8,3,4,3,,,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),,
20,7,6,6,8,8,,,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-b <= 0.5) & (bottom-middle-square-x <= 0.5),,
21,6,3,9,3,5,,,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-b > 0.5),(middle-middle-square-o <= 0.5) & (bottom-left-square-o <= 0.5) & (top-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),,
22,7,10,4,9,4,9,,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x > 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x > 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-b <= 0.5) & (middle-left-square-b <= 0.5) & (middle-right-square-o <= 0.5) & (top-right-square-b <= 0.5) & (top-right-square-o <= 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-middle-square-x > 0.5) & (top-right-square-b <= 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (middle-right-square-x > 0.5) & (bottom-left-square-x > 0.5) & (middle-left-square-x <= 0.5) & (bottom-right-square-o > 0.5) & (middle-left-square-o > 0.5),
23,8,7,4,8,4,8,,(bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x > 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (middle-left-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (top-right-square-x > 0.5) & (top-left-square-x > 0.5) & (top-middle-square-x > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-left-square-x <= 0.5),
